"Reference","Value","Mouser-Nr.","Footprint","Datasheet","Qty","DNP"
"D1,D2","SD12C-7","","Diode_SMD:D_SOD-323_HandSoldering","https://www.mouser.de/datasheet/2/115/DIOD_S_A0009691744_1-2543273.pdf","2",""
"J1,J6","CCS+","","Connector_Pin:Pin_D1.3mm_L11.0mm","~","2",""
"J2","Mu-Out","","Connector_Pin:Pin_D1.3mm_L11.0mm","~","1",""
"J3,J5","CCS-","","Connector_Pin:Pin_D1.3mm_L11.0mm","~","2",""
"J4","V-Set","","Connector_Pin:Pin_D1.3mm_L11.0mm","~","1",""
"Q1","DN2540N8-G","DN2540N8-G ","Package_TO_SOT_SMD:SOT-89-3","https://ww1.microchip.com/downloads/en/DeviceDoc/DN2540%20B060313.pdf","1",""
"Q2","DN2540N5-G","689-DN2540N5-G","Package_TO_SOT_THT:TO-220-3_Vertical","https://ww1.microchip.com/downloads/en/DeviceDoc/DN2540%20B060313.pdf","1",""
"Q3","BSP149","DN2540N8-G ","Package_TO_SOT_SMD:SOT-89-3","https://www.mouser.de/datasheet/2/196/Infineon_BSP149_DS_v02_01_en-1226393.pdf","1",""
"Q5","CPH3910","","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.onsemi.com/PowerSolutions/product.do?id=CPH3910-TL-E","1",""
"R1,R2,RV1","1k","603-RE0805FRE07330RL,81-PV36Y501C01B00","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","3",""
"R3","10R","71-CRCW080510R0FKEAC","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1",""
